,Absolute_Magnitude_Bin,Average_Absolute_Magnitude,Average_Comoving_Volume,Average_Weight,Number_Density,Number_Density_Error,Number_Of_Gals,Log10Phi,Log10Err
0,-23.75,-23.894900359711265,1815384.9169794833,1.2100515463917525,1.333107414382498e-06,1.2118900180781587e-06,1,-5.875134856141904,0.3948047560509361
1,-23.25,-23.18952188030629,1815384.9169794833,1.2207147900733337,5.379420215099781e-06,2.4344360565455297e-06,4,-5.269264529343187,0.19653830777829007
2,-22.75,-22.68600364139356,1815384.9169794836,1.2391227214364693,5.4605398991556045e-05,7.756189813312424e-06,40,-4.262764415238109,0.06168749791639989
3,-22.25,-22.194429521965883,1815384.9169794843,1.279215930417485,0.00032414025394191014,1.8897185247290373e-05,230,-3.489267031975255,0.02531911163947113
4,-21.75,-21.722458850538,1815384.9169794843,1.3449861392484155,0.0009572196373649785,3.2474048593744745e-05,646,-3.018988400414045,0.01473360925622543
5,-21.25,-21.229985151850425,1815384.9169794838,1.6237565795877784,0.0020679499850936416,4.773101303226061e-05,1156,-2.684459969185694,0.01002408942430216
6,-20.75,-20.75531119003961,1814340.7263897157,2.521761508900733,0.003600421501338339,6.300678811999688e-05,1295,-2.4436466534022205,0.007600082488339356
7,-20.25,-20.288104917539336,1725738.692040572,6.023176586717151,0.005143559857985808,7.990376330268275e-05,712,-2.2887362017141477,0.006746643267265816
8,-19.75,-19.80650384968948,1084933.7763418818,11.966934445583691,0.005596137228786726,0.00011348769665242155,225,-2.2521116442563183,0.008807339492413151
9,-19.25,-19.38504801531556,470398.0520115214,14.521812080536913,0.0008725048509824956,8.33022099216596e-05,10,-3.0592321497566646,0.041464170724764125
10,-18.75,,,,0.0,0.0,0,-inf,
11,-18.25,,,,0.0,0.0,0,-inf,
12,-17.75,,,,0.0,0.0,0,-inf,
13,-17.25,,,,0.0,0.0,0,-inf,
14,-16.75,,,,0.0,0.0,0,-inf,
15,-16.25,,,,0.0,0.0,0,-inf,
16,-15.75,,,,0.0,0.0,0,-inf,
17,-15.25,,,,0.0,0.0,0,-inf,
